intents,phrases
feedback_good,you look nice and kind too
feedback_good,you look smart too
hello, hii
hello, hola
hello,`hello
hello,aiyo yo
hello,are you okay?
hello,can you help
hello,can you say hi?
hello,dear Felix
hello,good moon
hello,good morning 
hello,Good morning 
hello,HAI
hello,hai
hello,Hai 
hello,Hai girl
hello,Hai hello
hello,hai la balik
hello,hai nice to meetyou
hello,Hai...
hello,haiii
hello,Hallo
hello,hallo
hello,halo
hello,heeelklloloo
hello,Hell
hello,Helllo 
hello,Hello
hello,HELLO
hello,Hello
hello,hello
hello,Hello
hello,Hello 
hello,hello 
hello,hello Felix
hello,Hello Felix
hello,hello Felix
hello,hello po
hello,Hello ther
hello,hello too
hello,hello you are in online Felix
hello,hello you are Felix friends write
hello,Hello!
hello,hello!
hello,Hello?
hello,Hello. My name is Arpan Sardar and I am from India
hello,hello\
hello,hello&nbsp
hello,Hello&nbsp
hello,helloo
hello,helloooooooo
hello,helloow
hello,Hellow
hello,helo
hello,Helo
hello,HELOO  Felix
hello,Helow
hello,hey
hello,Hey
hello,Hey 
hello,Hey Felix
hello,hey there
hello,heyhi
hello,HI
hello,hi
hello,Hi
hello,hi 
hello,Hi 
hello,Hi I am Haja
hello,hi Felix
hello,hi Felix 
hello,hi Felix..
hello,Hi sir
hello,hi sir
hello,Hi sir&nbsp
hello,Hi there.. 
hello,hi!
hello,Hi...
hello,hii
hello,Hii
hello,Hiii
hello,hiii
hello,hiiii
hello,hiiiiiiii
hello,hita
hello,hiya
hello,Hola
hello,hola
hello,hOLA
hello,Holla Felix
hello,hy
hello,Hye
hello,hye
hello,i Felix
hello,is Felix here
hello,Felix!
hello,ni
hello,oh hello. Nice to meet you
hello,Uh hi
hello,yah hello cute
hello,yupp hello
hello,Good evening 
hello,Hey there!
hello,Hi Felix
hello,hi Felix
hello,Hi Felix
hello,Hi Felix
how_are_you,apa khabar
how_are_you,Apa khabar?
how_are_you,are you doing good?
how_are_you,are you doing ok?
how_are_you,Are you doing ok?
how_are_you,Are you good?
how_are_you,are you happy?
how_are_you,Are you ok?
how_are_you,Are you okay?
how_are_you,babe
how_are_you,Babe
how_are_you,do you like me
how_are_you,gud
how_are_you,Hi all good now? TEST<br>
how_are_you,how about now
how_are_you,how are
how_are_you,How are things going? 
how_are_you,how are u doing?
how_are_you,how are you
how_are_you,How are you
how_are_you,How are you 
how_are_you,how are you ? 
how_are_you,how are you doing
how_are_you,How are you doing?
how_are_you,how are you doinn?
how_are_you,how are you i hope you are in the pink of health and as fit as a fiddle
how_are_you,How are you Felix
how_are_you,how are you today?<br>
how_are_you,how are you?
how_are_you,How are you?
how_are_you,How are you? 
how_are_you,how are you?<br>
how_are_you,How are you&nbsp
how_are_you,how areyou?
how_are_you,How have you been?
how_are_you,how is it going?
how_are_you,How now
how_are_you,How r u
how_are_you,how r u
how_are_you,how r u today?
how_are_you,How u
how_are_you,How's everything? 
how_are_you,how's it going
how_are_you,How's it going?
how_are_you,How's your day?
how_are_you,How’s life treating you?
how_are_you,How’s your day?
how_are_you,howudoin
how_are_you,hw r u
how_are_you,hyd
how_are_you,N how about u how ur day
how_are_you,wassup
how_are_you,wassup
how_are_you,Whassup?
how_are_you,what are u doing?
how_are_you,what are you doing
how_are_you,What are you up to? 
how_are_you,What did you do today
how_are_you,What do you know about
how_are_you,what ya sayin
how_are_you,What you up to?
how_are_you,What's going on pls
how_are_you,What's going on? 
how_are_you,What's up?
how_are_you,What’s happening?
how_are_you,What’s shaking?
how_are_you,what`s up
how_are_you,Whatcha doin’?
how_are_you,whats going on
how_are_you,whats up
how_are_you,wyd
how_are_you,yo sup
intro_messages,what kind of work that you do
intro_messages,What services does ABG provide?
intro_messages,What do you mean
intro_messages,what the hell is this?
intro_messages,Hi sis could you please help me
intro_messages,Can you tell more about ABG company?
intro_messages,selamat pagi<br>
intro_messages,who is ABG
intro_messages,what do you say at me
intro_messages,Tell what do u do
intro_messages,Who is ABG?
intro_messages,What you do
intro_messages,What service you have?
intro_messages,what can you do
intro_messages,who is ABG abaku
intro_messages,company ni buat apa
intro_messages,What else you can do?
intro_messages,Hi there
intro_messages,intro_messages
intro_messages,intro
intro_messages,can you help me
intro_messages,restart
intro_messages,How can I help you?
intro_messages,Hello
intro_messages,what do you do
intro_messages,start
intro_messages,Intro plc
intro_messages,what kind of service you provide?
intro_messages,CAN YOU HELP ME
intro_messages,What can you do?
intro_messages,What your can do
intro_messages,hi<br>
intro_messages,how can you help me
intro_messages,hellp
intro_messages,Ok what way you want to help me ?
intro_messages,what's up
intro_messages,What service do you provide
intro_messages,menu
intro_messages,what are the services
intro_messages,what you can do
intro_messages,how can you help
intro_messages,how you can assits us
intro_messages,what service?
intro_messages,cn u restart the conversation
intro_messages,what do u do
intro_messages,YOU CAN HELP
intro_messages,where can i see the guide to start
intro_messages,how do you help them ? <br>
intro_messages,what is it about?
joke,can you be funny
joke,can you do a joke
joke,can you say something funny?
joke,can you tell me a joke
joke,do you have a joke?
joke,Entertain me
joke,i want joke
joke,i want to hear a joke
joke,joke
joke,joke please
joke,just a joke
joke,Make me laugh 
joke,send me a joke
joke,tell a joke
joke,tell ma a joke
joke,tell me a fun joke
joke,Tell me a joke
joke,tell me a joke
joke,Tell me a joke 
joke,tell me a story
joke,tell me joke
joke,tell me joke lah
joke,tell me joke pls
language,bahasa melayu
language,bahasa please
language,can you speak in malay
language,can you switch language
language,change language
language,change language please
language,change management
language,different languages
language,Do you talk malayMal
language,ENGLISH
language,english
language,I cant speak english well
language,I don't know how to speak English very well
language,i want bahasa
language,i want different language
language,language change
language,malay language please
language,Melayu boleh
language,other languages
language,switch to malay
live_where,Felix do you have a family?\
live_where,what is aws
live_where,Wher you  from
live_where,where are you based?
live_where,where are you from ?
live_where,where are you from?
live_where,Where are you now
live_where,where are you?
live_where,where areyou from
live_where,where do you live
live_where,where do you live?
live_where,Where do you live?
live_where,where r u
live_where,where u frm
live_where,where u from?
live_where,where u live
live_where,WHERE YOU ARE FROM
locations,are you malaysian
locations,where is your office in Malaysia?
locations,hai im dini from malaysia
locations,i from malaysia pahang
locations,May I know where are you based in south east Asia?
locations,you r from malaysha
locations,Yes. Do you work in the US?
locations,where location 
locations,where do I find you
locations,Indinesia
locations,where is you office in Silicon Valley? 
locations,malaysia
locations,Where is your office in India
locations,what is your address?
locations,can I get your locations
locations,do you operate in indonesia
locations,what is singapore address
locations,what is your address
locations,where are you
locations,where are your offices located?
locations,Where are you
locations,Malaysia
locations,are you singapore
locations,Johor bahru
locations,Malaysia*
locations,im from malaysia nice to meet you
locations,offices
locations,Ohh okay
locations,are you in malaysia
locations,where is ABG office
locations,Malaysian&nbsp
locations,india address
locations,Office address
locations,where u located?
locations,india bangalore
locations,locations
locations,I am operator in malayasia
locations,where is malaysia
locations,i need to go to your office ma
locations,do you operate in malaysia
love_you,do you love me
love_you,i love u
love_you,i love u 3000
love_you,i love u too
love_you,i love u<br>
love_you,i love you
love_you,I love you
love_you,I love you 
love_you,i loving you
love_you,i luv u
love_you,I luv you
love_you,i luv you
love_you,I think im in love with you
love_you,ilove you
love_you,Iloveyou
love_you,iloveyou
love_you,let talk about love
love_you,love you
love_you,luv u
love_you,luvu
love_you,miss you
love_you,Tell me I love u
love_you,we love you
love_you,you are hansome
love_you,You love me
main,begin again
main,start over
main,main
main,start beginning
main,I want to start over
main,main menu please
main,can i ask you some questions
main,take me to main menu
main,Main Menu
main,main menu
main,Start Over
main,Main bola...
main,take me to top
name,are u pretty?
name,are you ruth
name,can i call you milly
name,can I get your name?
name,can you guess my name
name,can your name be manolo
name,define yourself
name,do you have a name?
name,do you photo of yourself
name,Give me ur chat bot's names<br>
name,Hai nama saya nono
name,hai what your name
name,hi
name,Hye
name,Hye there
name,is your real name Felix
name,Felix
name,Felix
name,mobail nambar
name,MY NAME
name,my name is aliya
name,my name is fasiha
name,my name is haziq.what is you name
name,My name is luna
name,My name is Syed I am from Bangalore
name,my name issyazlianis
name,name please?
name,Name sape
name,name?
name,suggest a business name 
name,ur name
name,what can i call you
name,what do you go by?
name,WHAT IS YOUR NAME
name,what is your name
name,What is your name?
name,what is your name?
name,what your name
name,What's your name again
name,whats you name<br>
name,whats your name
name,whats your name?
name,who are u
name,who are you
name,Who are you
name,who are you?
name,Who does give your name?
name,who is in your team?
name,Who r u ?
name,Who this
name,Wht you name
name,yor name
name,you are tom
name,You name
name,You neme
name,your name?
no,bah
no,don't
no,hell no
no,na
no,nah
no,Nah
no,nahh
no,nahhh
no,negative
no,No
no,no
no,No
no,No
no,No 
no,no i dont<br>
no,no no
no,no no no no
no,no thanks
no,No thanks. . To complicated
no,no way
no,no. tq
no,nonononon
no,noo
no,nooo
no,noooo
no,nooooooo
no,nope
no,not
no,stop it
no,stop it!!!
no,uh uh
no,yeah right
not_much_meaning, no
not_much_meaning,:)
not_much_meaning,ah
not_much_meaning,alright
not_much_meaning,alrite
not_much_meaning,cool
not_much_meaning,Cool
not_much_meaning,fine
not_much_meaning,Fine 
not_much_meaning,glad
not_much_meaning,good luck
not_much_meaning,good luck
not_much_meaning,great
not_much_meaning,Great
not_much_meaning,haha
not_much_meaning,hahaha
not_much_meaning,hahahahaa
not_much_meaning,hahhahh
not_much_meaning,hehe
not_much_meaning,hm
not_much_meaning,hmm
not_much_meaning,Hmm its okey
not_much_meaning,i am sorry to hear that
not_much_meaning,i dont care
not_much_meaning,i dont care about that
not_much_meaning,i dont know
not_much_meaning,i guess
not_much_meaning,I know 
not_much_meaning,I want ice cream
not_much_meaning,i want it
not_much_meaning,Interesting
not_much_meaning,interesting
not_much_meaning,is ok
not_much_meaning,it is
not_much_meaning,it is funny
not_much_meaning,It is!
not_much_meaning,K
not_much_meaning,listen to me
not_much_meaning,lol
not_much_meaning,Felix
not_much_meaning,may be
not_much_meaning,me too <br>
not_much_meaning,Nice to know haha *nervous laugh*
not_much_meaning,no that
not_much_meaning,no worries
not_much_meaning,normal
not_much_meaning,now testing fresh
not_much_meaning,Oh oj
not_much_meaning,Oh ok 
not_much_meaning,Oh sorry 
not_much_meaning,oh yea?
not_much_meaning,oho
not_much_meaning,OK
not_much_meaning,OK fine 
not_much_meaning,Ok I got it
not_much_meaning,Ok ii
not_much_meaning,ok shut up
not_much_meaning,ok sorry
not_much_meaning,Ok sory
not_much_meaning,pls
not_much_meaning,so
not_much_meaning,So
not_much_meaning,So 
not_much_meaning,So what
not_much_meaning,sorry
not_much_meaning,TEST okay
not_much_meaning,this is to much!
not_much_meaning,u too
not_much_meaning,ur bot
not_much_meaning,Very interesting
not_much_meaning,wait
not_much_meaning,wat
not_much_meaning,well
not_much_meaning,what
not_much_meaning,what is orchestrator?
not_much_meaning,why so serious<br>
not_much_meaning,wow
not_much_meaning,wow wow wow slow down pal
not_much_meaning,ya allah
not_much_meaning,Yeah can u not
not_much_meaning,Yes I already drop
real,Are you a boy
real,are you a chatbot?
real,are you a girl
real,are you a human?
real,are you a machine?
real,are you a real person
real,are you a robot
real,are you a software
real,are you boy or girl
real,are you fake?
real,are you for real?
real,are you human
real,Are you human? 
real,are you real
real,are you real?
real,Are you real?
real,fake person
real,hello i want to ask you about a fake friend
real,I want to discuss with a person
real,I want to talk to a real person
real,I want to talk to real person
real,i want you to be free
real,I want you to be real
real,not real person
real,Ok so are you real?
real,real person or not
real,U boy
real,u want girl
real,what are you
real,what are you?
real,What are you?
real,what is human?
real,what is your gender
real,You a girl or boy
real,You a robot?
real,you are robot
real,you girl or man
real,You gril or boy
real,you please be real
real,you robot
real,Your a bot right?
real,Your a girl?
rude_words,bitch
rude_words,cunt
rude_words,do you have a pussy
rude_words,Fan i fuck you
rude_words,fuck
rude_words,fuck face
rude_words,fuck fuck
rude_words,fuck fuck fuck you
rude_words,Fuck in bitch
rude_words,fuck off
rude_words,fuck u
rude_words,Fuck u
rude_words,fuck u 
rude_words,fuck u<br>
rude_words,fuck you
rude_words,Fuck you
rude_words,fuck you bitch
rude_words,Fuck you lah
rude_words,Fuck you!!
rude_words,fuck you!!!
rude_words,Fuck You!!!
rude_words,fuck you!!!!!
rude_words,fuck your
rude_words,fuck your hacker
rude_words,fucker
rude_words,fuk u
rude_words,go to hell
rude_words,i think you is fucking robot
rude_words,i want to fuck
rude_words,i want to have sex with you
rude_words,I'm gonna fuck you
rude_words,im sexx
rude_words,mother fucker
rude_words,no fuck you
rude_words,piss off
rude_words,screw you
rude_words,screw you!!!!
rude_words,showw your dick
rude_words,suck u 
rude_words,Test fuck you<br>
rude_words,then fuck off
rude_words,what the fuck
rude_words,who da fuck are you<br>
rude_words,wtf
rude_words,you dick
rude_words,you dick shit
rude_words,you fuckface
thanks,ok thanks
thanks,Thank for the information.
thanks,thank u
thanks,thank you
thanks,Thank you 
thanks,thank you 
thanks,THANKS
thanks,thanks
thanks,Thanks
thanks,thanks for theinfo
thanks,Thanks Felix..
thanks,tq
yes,ok than kyou
yes,Ok. Not a problem
yes,OK
yes,okay
yes,Okay im understand
yes,okay TEST<br>
yes,Okay thanks 
yes,okok
yes,ok
yes,yees
yes,it's okay
yes,ok
yes,Ok
yes,Ok 
yes,ok 
yes,ok ok
yes,Ok ok 
yes,Ok.
yes,Okay
yes,okkk
yes,sure
yes,Sure
yes,Sure
yes,ya
yes,Ya
yes,Ye
yes,yeah
yes,yeap
yes,yep
yes,YES
yes,yes
yes,yes
yes,Yes
yes,Yes
yes,Yes
yes,Yes Ofcs!!
yes,Yes plz
yes,Yes tq
